armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,13
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,12
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,19
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,10
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,10
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,3
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,8
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,3
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,32
1.5634765625,2.1205078125,0.380859375,2.1205078125,10,100,10,15
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,3
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,5
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,2
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,6
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,5
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,5
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,4
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,4
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,2
3.1134765625,3.6705078125,0.880859375,3.6705078125,10,100,10,2
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,8
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,14
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,8
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,10
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,9
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,3
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,7
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,11
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,16
2.3384765625,4.4455078125,0.130859375,2.8955078125,10,100,10,7
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,3
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,7
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,6
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,1
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,5
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,3
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,4
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,3
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,4
3.8884765625,2.8955078125,0.630859375,4.4455078125,10,100,10,5
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,5
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,5
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,3
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,5
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,5
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,3
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,3
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,4
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,14
2.7259765624999996,2.5080078125,0.505859375,3.2830078125,10,100,10,4
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,6
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,11
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,6
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,4
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,7
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,3
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,4
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,8
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,7
4.2759765625,4.0580078125,0.005859375,1.7330078125,10,100,10,10
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,5
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,2
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,4
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,5
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,7
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,3
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,2
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,7
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,22
1.9509765625,3.2830078125,0.755859375,4.0580078125,10,100,10,5
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,7
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,14
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,9
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,13
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,5
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,3
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,14
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,19
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,11
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,13
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,3
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,4
