armyPerception,civilianPerception,myWorld,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,8
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,15
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,5
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,16
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,5
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,10
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,8
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,5
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,11
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,15
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,6
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,4
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,5
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,5
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,18
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,13
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,2
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,7
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,6
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,4
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,14
3.0408203125,3.2587890625,1,0.388671875,2.4353515625,10,100,10,10
3.0408203125,3.2587890625,0,0.388671875,2.4353515625,10,100,10,10
3.0408203125,3.2587890625,2,0.388671875,2.4353515625,10,100,10,5
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,2
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,23
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,4
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,3
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,11
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,3
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,3
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,9
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,3
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,6
